province,date,HA,cases
Nova Scotia,0025-01-20,Not Reported,0
Nova Scotia,0026-01-20,Not Reported,0
Nova Scotia,0027-01-20,Not Reported,0
Nova Scotia,0028-01-20,Not Reported,0
Nova Scotia,0029-01-20,Not Reported,0
Nova Scotia,0030-01-20,Not Reported,0
Nova Scotia,0031-01-20,Not Reported,0
Nova Scotia,0001-02-20,Not Reported,0
Nova Scotia,0002-02-20,Not Reported,0
Nova Scotia,0003-02-20,Not Reported,0
Nova Scotia,0004-02-20,Not Reported,0
Nova Scotia,0005-02-20,Not Reported,0
Nova Scotia,0006-02-20,Not Reported,0
Nova Scotia,0007-02-20,Not Reported,0
Nova Scotia,0008-02-20,Not Reported,0
Nova Scotia,0009-02-20,Not Reported,0
Nova Scotia,0010-02-20,Not Reported,0
Nova Scotia,0011-02-20,Not Reported,0
Nova Scotia,0012-02-20,Not Reported,0
Nova Scotia,0013-02-20,Not Reported,0
Nova Scotia,0014-02-20,Not Reported,0
Nova Scotia,0015-02-20,Not Reported,0
Nova Scotia,0016-02-20,Not Reported,0
Nova Scotia,0017-02-20,Not Reported,0
Nova Scotia,0018-02-20,Not Reported,0
Nova Scotia,0019-02-20,Not Reported,0
Nova Scotia,0020-02-20,Not Reported,0
Nova Scotia,0021-02-20,Not Reported,0
Nova Scotia,0022-02-20,Not Reported,0
Nova Scotia,0023-02-20,Not Reported,0
Nova Scotia,0024-02-20,Not Reported,0
Nova Scotia,0025-02-20,Not Reported,0
Nova Scotia,0026-02-20,Not Reported,0
Nova Scotia,0027-02-20,Not Reported,0
Nova Scotia,0028-02-20,Not Reported,0
Nova Scotia,0029-02-20,Not Reported,0
Nova Scotia,0001-03-20,Not Reported,0
Nova Scotia,0002-03-20,Not Reported,0
Nova Scotia,0003-03-20,Not Reported,0
Nova Scotia,0004-03-20,Not Reported,0
Nova Scotia,0005-03-20,Not Reported,0
Nova Scotia,0006-03-20,Not Reported,0
Nova Scotia,0007-03-20,Not Reported,0
Nova Scotia,0008-03-20,Not Reported,0
Nova Scotia,0009-03-20,Not Reported,0
Nova Scotia,0010-03-20,Not Reported,0
Nova Scotia,0011-03-20,Not Reported,0
Nova Scotia,0012-03-20,Not Reported,0
Nova Scotia,0013-03-20,Not Reported,0
Nova Scotia,0014-03-20,Not Reported,0
Nova Scotia,0015-03-20,Not Reported,0
Nova Scotia,0016-03-20,Not Reported,0
Nova Scotia,0017-03-20,Not Reported,0
Nova Scotia,0018-03-20,Not Reported,0
Nova Scotia,0019-03-20,Not Reported,0
Nova Scotia,0020-03-20,Not Reported,0
Nova Scotia,0021-03-20,Not Reported,0
Nova Scotia,0022-03-20,Not Reported,0
Nova Scotia,0023-03-20,Not Reported,0
Nova Scotia,0024-03-20,Not Reported,0
Nova Scotia,0025-03-20,Not Reported,0
Nova Scotia,0026-03-20,Not Reported,0
Nova Scotia,0027-03-20,Not Reported,0
Nova Scotia,0028-03-20,Not Reported,0
Nova Scotia,0029-03-20,Not Reported,0
Nova Scotia,0030-03-20,Not Reported,0
Nova Scotia,0031-03-20,Not Reported,0
Nova Scotia,0001-04-20,Not Reported,0
Nova Scotia,0002-04-20,Not Reported,0
Nova Scotia,0003-04-20,Not Reported,0
Nova Scotia,0004-04-20,Not Reported,0
Nova Scotia,0005-04-20,Not Reported,0
Nova Scotia,0006-04-20,Not Reported,0
Nova Scotia,0007-04-20,Not Reported,0
Nova Scotia,0008-04-20,Not Reported,0
Nova Scotia,0009-04-20,Not Reported,0
Nova Scotia,0010-04-20,Not Reported,0
Nova Scotia,0011-04-20,Not Reported,0
Nova Scotia,0012-04-20,Not Reported,0
Nova Scotia,0013-04-20,Not Reported,0
Nova Scotia,0014-04-20,Not Reported,0
Nova Scotia,0015-04-20,Not Reported,0
Nova Scotia,0016-04-20,Not Reported,0
Nova Scotia,0017-04-20,Not Reported,0
Nova Scotia,0018-04-20,Not Reported,0
Nova Scotia,0019-04-20,Not Reported,0
Nova Scotia,0020-04-20,Not Reported,0
Nova Scotia,0021-04-20,Not Reported,0
Nova Scotia,0022-04-20,Not Reported,0
Nova Scotia,0023-04-20,Not Reported,0
Nova Scotia,0024-04-20,Not Reported,0
Nova Scotia,0025-04-20,Not Reported,0
Nova Scotia,0026-04-20,Not Reported,0
Nova Scotia,0027-04-20,Not Reported,0
Nova Scotia,0028-04-20,Not Reported,0
Nova Scotia,0029-04-20,Not Reported,0
Nova Scotia,0030-04-20,Not Reported,0
Nova Scotia,0001-05-20,Not Reported,0
Nova Scotia,0002-05-20,Not Reported,0
Nova Scotia,0003-05-20,Not Reported,0
Nova Scotia,0004-05-20,Not Reported,0
Nova Scotia,0005-05-20,Not Reported,0
Nova Scotia,0006-05-20,Not Reported,0
Nova Scotia,0007-05-20,Not Reported,0
Nova Scotia,0008-05-20,Not Reported,0
Nova Scotia,0009-05-20,Not Reported,0
Nova Scotia,0010-05-20,Not Reported,0
Nova Scotia,0011-05-20,Not Reported,0
Nova Scotia,0012-05-20,Not Reported,0
Nova Scotia,0013-05-20,Not Reported,0
Nova Scotia,0014-05-20,Not Reported,0
Nova Scotia,0015-05-20,Not Reported,0
Nova Scotia,0016-05-20,Not Reported,0
Nova Scotia,0017-05-20,Not Reported,0
Nova Scotia,0018-05-20,Not Reported,0
Nova Scotia,0019-05-20,Not Reported,0
Nova Scotia,0020-05-20,Not Reported,0
Nova Scotia,0021-05-20,Not Reported,0
Nova Scotia,0022-05-20,Not Reported,0
Nova Scotia,0023-05-20,Not Reported,0
Nova Scotia,0024-05-20,Not Reported,0
Nova Scotia,0025-05-20,Not Reported,0
Nova Scotia,0026-05-20,Not Reported,0
Nova Scotia,0027-05-20,Not Reported,0
Nova Scotia,0028-05-20,Not Reported,0
Nova Scotia,0029-05-20,Not Reported,0
Nova Scotia,0030-05-20,Not Reported,0
Nova Scotia,0031-05-20,Not Reported,0
Nova Scotia,0001-06-20,Not Reported,0
Nova Scotia,0002-06-20,Not Reported,0
Nova Scotia,0003-06-20,Not Reported,0
Nova Scotia,0004-06-20,Not Reported,0
Nova Scotia,0005-06-20,Not Reported,0
Nova Scotia,0006-06-20,Not Reported,0
Nova Scotia,0007-06-20,Not Reported,0
Nova Scotia,0008-06-20,Not Reported,0
Nova Scotia,0009-06-20,Not Reported,0
Nova Scotia,0010-06-20,Not Reported,0
Nova Scotia,0011-06-20,Not Reported,0
Nova Scotia,0012-06-20,Not Reported,0
Nova Scotia,0013-06-20,Not Reported,0
Nova Scotia,0014-06-20,Not Reported,0
Nova Scotia,0015-06-20,Not Reported,0
Nova Scotia,0016-06-20,Not Reported,0
Nova Scotia,0017-06-20,Not Reported,0
Nova Scotia,0018-06-20,Not Reported,0
Nova Scotia,0019-06-20,Not Reported,0
Nova Scotia,0020-06-20,Not Reported,0
Nova Scotia,0021-06-20,Not Reported,0
Nova Scotia,0022-06-20,Not Reported,0
Nova Scotia,0023-06-20,Not Reported,0
Nova Scotia,0024-06-20,Not Reported,0
Nova Scotia,0025-06-20,Not Reported,0
Nova Scotia,0026-06-20,Not Reported,0
Nova Scotia,0027-06-20,Not Reported,0
Nova Scotia,0028-06-20,Not Reported,0
