date,HA,cases,province
2020-01-23,Bas-Saint-Laurent,0,Quebec
2020-01-23,Saguenay-Lac-Saint-Jean,0,Quebec
2020-01-23,Capitale-Nationale,0,Quebec
2020-01-23,Mauricie et Centre-du-Quebec,0,Quebec
2020-01-23,Estrie,0,Quebec
2020-01-23,Montreal,0,Quebec
2020-01-23,Outaouais,0,Quebec
2020-01-23,Abitibi-Temiscamingue,0,Quebec
2020-01-23,Cote-Nord,0,Quebec
2020-01-23,Nord-du-Quebec,0,Quebec
2020-01-23,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-01-23,Chaudiere-Appalaches,0,Quebec
2020-01-23,Laval,0,Quebec
2020-01-23,Lanaudiere,0,Quebec
2020-01-23,Laurentides,0,Quebec
2020-01-23,Monteregie,0,Quebec
2020-01-23,Nunavik,0,Quebec
2020-01-23,Terres-Cries-de-la-Baie-James,0,Quebec
2020-01-24,Bas-Saint-Laurent,0,Quebec
2020-01-24,Saguenay-Lac-Saint-Jean,0,Quebec
2020-01-24,Capitale-Nationale,0,Quebec
2020-01-24,Mauricie et Centre-du-Quebec,0,Quebec
2020-01-24,Estrie,0,Quebec
2020-01-24,Montreal,0,Quebec
2020-01-24,Outaouais,0,Quebec
2020-01-24,Abitibi-Temiscamingue,0,Quebec
2020-01-24,Cote-Nord,0,Quebec
2020-01-24,Nord-du-Quebec,0,Quebec
2020-01-24,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-01-24,Chaudiere-Appalaches,0,Quebec
2020-01-24,Laval,0,Quebec
2020-01-24,Lanaudiere,0,Quebec
2020-01-24,Laurentides,0,Quebec
2020-01-24,Monteregie,0,Quebec
2020-01-24,Nunavik,0,Quebec
2020-01-24,Terres-Cries-de-la-Baie-James,0,Quebec
2020-01-25,Bas-Saint-Laurent,0,Quebec
2020-01-25,Saguenay-Lac-Saint-Jean,0,Quebec
2020-01-25,Capitale-Nationale,0,Quebec
2020-01-25,Mauricie et Centre-du-Quebec,0,Quebec
2020-01-25,Estrie,0,Quebec
2020-01-25,Montreal,0,Quebec
2020-01-25,Outaouais,0,Quebec
2020-01-25,Abitibi-Temiscamingue,0,Quebec
2020-01-25,Cote-Nord,0,Quebec
2020-01-25,Nord-du-Quebec,0,Quebec
2020-01-25,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-01-25,Chaudiere-Appalaches,0,Quebec
2020-01-25,Laval,0,Quebec
2020-01-25,Lanaudiere,0,Quebec
2020-01-25,Laurentides,0,Quebec
2020-01-25,Monteregie,0,Quebec
2020-01-25,Nunavik,0,Quebec
2020-01-25,Terres-Cries-de-la-Baie-James,0,Quebec
2020-01-26,Bas-Saint-Laurent,0,Quebec
2020-01-26,Saguenay-Lac-Saint-Jean,0,Quebec
2020-01-26,Capitale-Nationale,0,Quebec
2020-01-26,Mauricie et Centre-du-Quebec,0,Quebec
2020-01-26,Estrie,0,Quebec
2020-01-26,Montreal,0,Quebec
2020-01-26,Outaouais,0,Quebec
2020-01-26,Abitibi-Temiscamingue,0,Quebec
2020-01-26,Cote-Nord,0,Quebec
2020-01-26,Nord-du-Quebec,0,Quebec
2020-01-26,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-01-26,Chaudiere-Appalaches,0,Quebec
2020-01-26,Laval,0,Quebec
2020-01-26,Lanaudiere,0,Quebec
2020-01-26,Laurentides,0,Quebec
2020-01-26,Monteregie,0,Quebec
2020-01-26,Nunavik,0,Quebec
2020-01-26,Terres-Cries-de-la-Baie-James,0,Quebec
2020-01-27,Bas-Saint-Laurent,0,Quebec
2020-01-27,Saguenay-Lac-Saint-Jean,0,Quebec
2020-01-27,Capitale-Nationale,0,Quebec
2020-01-27,Mauricie et Centre-du-Quebec,0,Quebec
2020-01-27,Estrie,0,Quebec
2020-01-27,Montreal,0,Quebec
2020-01-27,Outaouais,0,Quebec
2020-01-27,Abitibi-Temiscamingue,0,Quebec
2020-01-27,Cote-Nord,0,Quebec
2020-01-27,Nord-du-Quebec,0,Quebec
2020-01-27,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-01-27,Chaudiere-Appalaches,0,Quebec
2020-01-27,Laval,0,Quebec
2020-01-27,Lanaudiere,0,Quebec
2020-01-27,Laurentides,0,Quebec
2020-01-27,Monteregie,0,Quebec
2020-01-27,Nunavik,0,Quebec
2020-01-27,Terres-Cries-de-la-Baie-James,0,Quebec
2020-01-28,Bas-Saint-Laurent,0,Quebec
2020-01-28,Saguenay-Lac-Saint-Jean,0,Quebec
2020-01-28,Capitale-Nationale,0,Quebec
2020-01-28,Mauricie et Centre-du-Quebec,0,Quebec
2020-01-28,Estrie,0,Quebec
2020-01-28,Montreal,0,Quebec
2020-01-28,Outaouais,0,Quebec
2020-01-28,Abitibi-Temiscamingue,0,Quebec
2020-01-28,Cote-Nord,0,Quebec
2020-01-28,Nord-du-Quebec,0,Quebec
2020-01-28,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-01-28,Chaudiere-Appalaches,0,Quebec
2020-01-28,Laval,0,Quebec
2020-01-28,Lanaudiere,0,Quebec
2020-01-28,Laurentides,0,Quebec
2020-01-28,Monteregie,0,Quebec
2020-01-28,Nunavik,0,Quebec
2020-01-28,Terres-Cries-de-la-Baie-James,0,Quebec
2020-01-29,Bas-Saint-Laurent,0,Quebec
2020-01-29,Saguenay-Lac-Saint-Jean,0,Quebec
2020-01-29,Capitale-Nationale,0,Quebec
2020-01-29,Mauricie et Centre-du-Quebec,0,Quebec
2020-01-29,Estrie,0,Quebec
2020-01-29,Montreal,0,Quebec
2020-01-29,Outaouais,0,Quebec
2020-01-29,Abitibi-Temiscamingue,0,Quebec
2020-01-29,Cote-Nord,0,Quebec
2020-01-29,Nord-du-Quebec,0,Quebec
2020-01-29,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-01-29,Chaudiere-Appalaches,0,Quebec
2020-01-29,Laval,0,Quebec
2020-01-29,Lanaudiere,0,Quebec
2020-01-29,Laurentides,0,Quebec
2020-01-29,Monteregie,0,Quebec
2020-01-29,Nunavik,0,Quebec
2020-01-29,Terres-Cries-de-la-Baie-James,0,Quebec
2020-01-30,Bas-Saint-Laurent,0,Quebec
2020-01-30,Saguenay-Lac-Saint-Jean,0,Quebec
2020-01-30,Capitale-Nationale,0,Quebec
2020-01-30,Mauricie et Centre-du-Quebec,0,Quebec
2020-01-30,Estrie,0,Quebec
2020-01-30,Montreal,0,Quebec
2020-01-30,Outaouais,0,Quebec
2020-01-30,Abitibi-Temiscamingue,0,Quebec
2020-01-30,Cote-Nord,0,Quebec
2020-01-30,Nord-du-Quebec,0,Quebec
2020-01-30,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-01-30,Chaudiere-Appalaches,0,Quebec
2020-01-30,Laval,0,Quebec
2020-01-30,Lanaudiere,0,Quebec
2020-01-30,Laurentides,0,Quebec
2020-01-30,Monteregie,0,Quebec
2020-01-30,Nunavik,0,Quebec
2020-01-30,Terres-Cries-de-la-Baie-James,0,Quebec
2020-01-31,Bas-Saint-Laurent,0,Quebec
2020-01-31,Saguenay-Lac-Saint-Jean,0,Quebec
2020-01-31,Capitale-Nationale,0,Quebec
2020-01-31,Mauricie et Centre-du-Quebec,0,Quebec
2020-01-31,Estrie,0,Quebec
2020-01-31,Montreal,0,Quebec
2020-01-31,Outaouais,0,Quebec
2020-01-31,Abitibi-Temiscamingue,0,Quebec
2020-01-31,Cote-Nord,0,Quebec
2020-01-31,Nord-du-Quebec,0,Quebec
2020-01-31,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-01-31,Chaudiere-Appalaches,0,Quebec
2020-01-31,Laval,0,Quebec
2020-01-31,Lanaudiere,0,Quebec
2020-01-31,Laurentides,0,Quebec
2020-01-31,Monteregie,0,Quebec
2020-01-31,Nunavik,0,Quebec
2020-01-31,Terres-Cries-de-la-Baie-James,0,Quebec
2020-02-01,Bas-Saint-Laurent,0,Quebec
2020-02-01,Saguenay-Lac-Saint-Jean,0,Quebec
2020-02-01,Capitale-Nationale,0,Quebec
2020-02-01,Mauricie et Centre-du-Quebec,0,Quebec
2020-02-01,Estrie,0,Quebec
2020-02-01,Montreal,0,Quebec
2020-02-01,Outaouais,0,Quebec
2020-02-01,Abitibi-Temiscamingue,0,Quebec
2020-02-01,Cote-Nord,0,Quebec
2020-02-01,Nord-du-Quebec,0,Quebec
2020-02-01,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-02-01,Chaudiere-Appalaches,0,Quebec
2020-02-01,Laval,0,Quebec
2020-02-01,Lanaudiere,0,Quebec
2020-02-01,Laurentides,0,Quebec
2020-02-01,Monteregie,0,Quebec
2020-02-01,Nunavik,0,Quebec
2020-02-01,Terres-Cries-de-la-Baie-James,0,Quebec
2020-02-02,Bas-Saint-Laurent,0,Quebec
2020-02-02,Saguenay-Lac-Saint-Jean,0,Quebec
2020-02-02,Capitale-Nationale,0,Quebec
2020-02-02,Mauricie et Centre-du-Quebec,0,Quebec
2020-02-02,Estrie,0,Quebec
2020-02-02,Montreal,0,Quebec
2020-02-02,Outaouais,0,Quebec
2020-02-02,Abitibi-Temiscamingue,0,Quebec
2020-02-02,Cote-Nord,0,Quebec
2020-02-02,Nord-du-Quebec,0,Quebec
2020-02-02,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-02-02,Chaudiere-Appalaches,0,Quebec
2020-02-02,Laval,0,Quebec
2020-02-02,Lanaudiere,0,Quebec
2020-02-02,Laurentides,0,Quebec
2020-02-02,Monteregie,0,Quebec
2020-02-02,Nunavik,0,Quebec
2020-02-02,Terres-Cries-de-la-Baie-James,0,Quebec
2020-02-03,Bas-Saint-Laurent,0,Quebec
2020-02-03,Saguenay-Lac-Saint-Jean,0,Quebec
2020-02-03,Capitale-Nationale,0,Quebec
2020-02-03,Mauricie et Centre-du-Quebec,0,Quebec
2020-02-03,Estrie,0,Quebec
2020-02-03,Montreal,0,Quebec
2020-02-03,Outaouais,0,Quebec
2020-02-03,Abitibi-Temiscamingue,0,Quebec
2020-02-03,Cote-Nord,0,Quebec
2020-02-03,Nord-du-Quebec,0,Quebec
2020-02-03,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-02-03,Chaudiere-Appalaches,0,Quebec
2020-02-03,Laval,0,Quebec
2020-02-03,Lanaudiere,0,Quebec
2020-02-03,Laurentides,0,Quebec
2020-02-03,Monteregie,0,Quebec
2020-02-03,Nunavik,0,Quebec
2020-02-03,Terres-Cries-de-la-Baie-James,0,Quebec
2020-02-04,Bas-Saint-Laurent,0,Quebec
2020-02-04,Saguenay-Lac-Saint-Jean,0,Quebec
2020-02-04,Capitale-Nationale,0,Quebec
