pruid,prename,prfname,week_end,product_name,numtotal_atleast1dose,numtotal_partially,numtotal_fully,prop_atleast1dose,prop_partially,prop_fully,V12,numweekdelta_atleast1dose,numweekdelta_fully,propweekdelta_partially,propweekdelta_fully
1,Canada,Canada,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
1,Canada,Canada,2020-12-19,Pfizer-BioNTech Comirnaty,12360,12360,0,0.07,0.07,0.00,,,,,
1,Canada,Canada,2020-12-19,Unknown,2,2,0,<0.01,<0.01,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Pfizer-BioNTech Comirnaty,972,972,0,0.19,0.19,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Pfizer-BioNTech Comirnaty,1092,1092,0,0.11,0.11,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
24,Quebec,Québec,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
24,Quebec,Québec,2020-12-19,Pfizer-BioNTech Comirnaty,4728,4728,0,0.06,0.06,0.00,,,,,
24,Quebec,Québec,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,Pfizer-BioNTech Comirnaty,894,894,0,0.06,0.06,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Pfizer-BioNTech Comirnaty,1042,1042,0,0.09,0.09,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Pfizer-BioNTech Comirnaty,3632,3632,0,0.07,0.07,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,2,2,0,<0.01,<0.01,0.00,,,,,
60,Yukon,Yukon,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2020-12-19,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2020-12-19,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
1,Canada,Canada,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
1,Canada,Canada,2020-12-26,Pfizer-BioNTech Comirnaty,46153,46153,0,0.20,0.20,0.00,,,,,
1,Canada,Canada,2020-12-26,Unknown,3,3,0,<0.01,<0.01,0.00,,,,,
