pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_partially,numtotal_partiallyrange,numtotal_fully,numtotal_fullyrange,prop_atleast1dose,prop_partially,prop_partiallyrange,prop_fully,prop_fullyrange,numweekdelta_atleast1dose,numweekdelta_fully,propweekdelta_partially,propweekdelta_fully
1,Canada,Canada,2020-12-19,f,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
1,Canada,Canada,2020-12-19,f,16-69,8602,8602,,0,,0.14,0.14,,0.00,,,,,
1,Canada,Canada,2020-12-19,f,70-74,94,94,,0,,0.02,0.02,,0.00,,,,,
1,Canada,Canada,2020-12-19,f,75-79,47,47,,0,,0.01,0.01,,0.00,,,,,
1,Canada,Canada,2020-12-19,f,80+,241,241,,0,,0.05,0.05,,0.00,,,,,
1,Canada,Canada,2020-12-19,f,All ages,8984,8984,,0,,0.10,0.10,,0.00,,,,,
1,Canada,Canada,2020-12-19,f,Not reported,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,m,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
1,Canada,Canada,2020-12-19,m,16-69,3158,3158,,0,,0.05,0.05,,0.00,,,,,
1,Canada,Canada,2020-12-19,m,70-74,80,80,,0,,0.02,0.02,,0.00,,,,,
1,Canada,Canada,2020-12-19,m,75-79,38,38,,0,,0.01,0.01,,0.00,,,,,
1,Canada,Canada,2020-12-19,m,80+,94,94,,0,,0.03,0.03,,0.00,,,,,
1,Canada,Canada,2020-12-19,m,All ages,3370,3370,,0,,0.04,0.04,,0.00,,,,,
1,Canada,Canada,2020-12-19,m,Not reported,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Not reported,0-15,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Not reported,16-69,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Not reported,70-74,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Not reported,75-79,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Not reported,80+,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Not reported,All ages,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Not reported,Not reported,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Not reported,Unknown,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,16-69,8,8,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,All ages,8,8,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,Not reported,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,16-69,716,716,,0,,0.38,0.38,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,70-74,2,2,,0,,0.01,0.01,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,75-79,0,0,,0,,0.00,0.00,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,All ages,718,718,,0,,0.27,0.27,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,Not reported,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
